#       time                  x1                  y1                  z1                  x2                  y2                  z2
 560.1937500    2.5091431818e-09    3.0959768594e-08    9.4806745396e-09    2.5091431818e-09    3.0959768594e-08    9.4806745396e-09
 560.2000000    2.5875539090e-09    3.1927261366e-08    9.7769456223e-09    2.5875539090e-09    3.1927261366e-08    9.7769456223e-09
 560.2062500    2.6659646364e-09    3.2894754138e-08    1.0073216705e-08    2.6659646364e-09    3.2894754138e-08    1.0073216705e-08
 560.2125000    2.7443753640e-09    3.3862246911e-08    1.0369487788e-08    2.7443753640e-09    3.3862246911e-08    1.0369487788e-08
 560.2187500    2.8227860917e-09    3.4829739683e-08    1.0665758871e-08    2.8227860917e-09    3.4829739683e-08    1.0665758871e-08
 560.2250000    2.9011968196e-09    3.5797232456e-08    1.0962029955e-08    2.9011968196e-09    3.5797232456e-08    1.0962029955e-08
 560.2312500    2.9796075477e-09    3.6764725230e-08    1.1258301039e-08    2.9796075477e-09    3.6764725230e-08    1.1258301039e-08
 560.2375000    3.0580182759e-09    3.7732218003e-08    1.1554572122e-08    3.0580182759e-09    3.7732218003e-08    1.1554572122e-08
 560.2437500    3.1364290043e-09    3.8699710777e-08    1.1850843206e-08    3.1364290043e-09    3.8699710777e-08    1.1850843206e-08
 560.2500000    3.2148397329e-09    3.9667203550e-08    1.2147114291e-08    3.2148397329e-09    3.9667203550e-08    1.2147114291e-08
 560.2562500    3.2932504617e-09    4.0634696324e-08    1.2443385375e-08    3.2932504617e-09    4.0634696324e-08    1.2443385375e-08
 560.2625000    3.3716611906e-09    4.1602189099e-08    1.2739656460e-08    3.3716611906e-09    4.1602189099e-08    1.2739656460e-08
 560.2687500    3.4500719197e-09    4.2569681873e-08    1.3035927545e-08    3.4500719197e-09    4.2569681873e-08    1.3035927545e-08
 560.2750000    3.5284826489e-09    4.3537174648e-08    1.3332198630e-08    3.5284826489e-09    4.3537174648e-08    1.3332198630e-08
 560.2812500    3.6068933783e-09    4.4504667422e-08    1.3628469715e-08    3.6068933783e-09    4.4504667422e-08    1.3628469715e-08
 560.2875000    3.6853041079e-09    4.5472160198e-08    1.3924740800e-08    3.6853041079e-09    4.5472160198e-08    1.3924740800e-08
 560.2937500    3.7637148377e-09    4.6439652973e-08    1.4221011886e-08    3.7637148377e-09    4.6439652973e-08    1.4221011886e-08
 560.3000000    3.8421255676e-09    4.7407145748e-08    1.4517282972e-08    3.8421255676e-09    4.7407145748e-08    1.4517282972e-08
 560.3062500    3.9205362977e-09    4.8374638524e-08    1.4813554058e-08    3.9205362977e-09    4.8374638524e-08    1.4813554058e-08
 560.3125000    3.9989470280e-09    4.9342131300e-08    1.5109825144e-08    3.9989470280e-09    4.9342131300e-08    1.5109825144e-08
 560.3187500    4.0773577584e-09    5.0309624076e-08    1.5406096230e-08    4.0773577584e-09    5.0309624076e-08    1.5406096230e-08
 560.3250000    4.1557684890e-09    5.1277116852e-08    1.5702367317e-08    4.1557684890e-09    5.1277116852e-08    1.5702367317e-08
 560.3312500    4.2341792198e-09    5.2244609629e-08    1.5998638404e-08    4.2341792198e-09    5.2244609629e-08    1.5998638404e-08
 560.3375000    4.3125899508e-09    5.3212102406e-08    1.6294909491e-08    4.3125899508e-09    5.3212102406e-08    1.6294909491e-08
 560.3437500    4.3910006819e-09    5.4179595183e-08    1.6591180578e-08    4.3910006819e-09    5.4179595183e-08    1.6591180578e-08
 560.3500000    4.4694114132e-09    5.5147087960e-08    1.6887451666e-08    4.4694114132e-09    5.5147087960e-08    1.6887451666e-08
 560.3562500    4.5478221446e-09    5.6114580737e-08    1.7183722753e-08    4.5478221446e-09    5.6114580737e-08    1.7183722753e-08
 560.3625000    4.6262328762e-09    5.7082073515e-08    1.7479993841e-08    4.6262328762e-09    5.7082073515e-08    1.7479993841e-08
 560.3687500    4.7046436080e-09    5.8049566293e-08    1.7776264929e-08    4.7046436080e-09    5.8049566293e-08    1.7776264929e-08
 560.3750000    4.7830543400e-09    5.9017059071e-08    1.8072536017e-08    4.7830543400e-09    5.9017059071e-08    1.8072536017e-08
 560.3812500    4.8614650721e-09    5.9984551849e-08    1.8368807106e-08    4.8614650721e-09    5.9984551849e-08    1.8368807106e-08
 560.3875000    4.9398758044e-09    6.0952044628e-08    1.8665078194e-08    4.9398758044e-09    6.0952044628e-08    1.8665078194e-08
